Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,170.07000732421875,174.3800048828125,169.0800018310547,173.0399932861328,172.1967315673828,3379000
2022-10-04,174.89999389648438,178.41000366210938,174.8300018310547,178.19000244140625,177.32164001464844,3691300
2022-10-05,176.6199951171875,179.77000427246094,175.00999450683594,177.80999755859375,176.94349670410156,2940200
2022-10-06,176.2899932861328,177.69000244140625,173.86000061035156,175.0399932861328,174.18698120117188,2599200
2022-10-07,173.58999633789062,174.16000366210938,170.3699951171875,171.41000366210938,170.57469177246094,2961600
2022-10-10,172.80999755859375,173.8000030517578,170.1199951171875,171.88999938964844,171.05233764648438,1932100
2022-10-11,171.39999389648438,175.75999450683594,170.77999877929688,173.6199951171875,172.77391052246094,2908300
2022-10-12,174.05999755859375,175.0,172.1999969482422,172.7899932861328,171.9479522705078,2728000
2022-10-13,169.39999389648438,178.38999938964844,169.22000122070312,177.5500030517578,176.6847686767578,3223000
2022-10-14,178.14999389648438,178.52000427246094,173.8300018310547,174.16000366210938,173.311279296875,2970300
2022-10-17,177.66000366210938,179.0,176.1300048828125,177.0399932861328,176.17724609375,3437900
2022-10-18,180.17999267578125,181.16000366210938,177.63999938964844,179.8800048828125,179.00341796875,1978600
2022-10-19,179.5,180.8300018310547,177.94000244140625,179.27999877929688,178.4063262939453,1688000
2022-10-20,179.36000061035156,180.82000732421875,177.11000061035156,177.63999938964844,176.77432250976562,2687500
2022-10-21,176.99000549316406,183.30999755859375,176.52000427246094,182.80999755859375,181.91912841796875,2959800
2022-10-24,184.50999450683594,188.0800018310547,183.83999633789062,186.89999389648438,185.98919677734375,3271000
2022-10-25,186.66000366210938,189.86000061035156,186.1999969482422,189.64999389648438,188.7257843017578,2907100
2022-10-26,191.6300048828125,192.9499969482422,189.75999450683594,190.27000427246094,189.3427734375,4202900
2022-10-27,193.36000061035156,199.5800018310547,192.8000030517578,196.49000549316406,195.532470703125,4754000
2022-10-28,199.0,205.16000366210938,196.69000244140625,204.92999267578125,203.9313201904297,4892700
2022-10-31,202.41000366210938,204.99000549316406,202.2899932861328,204.02000427246094,203.02577209472656,4433400
2022-10-03,170.07000732421875,174.3800048828125,169.0800018310547,173.0399932861328,172.1967315673828,3379000
2022-10-04,174.89999389648438,178.41000366210938,174.8300018310547,178.19000244140625,177.32164001464844,3691300
2022-10-05,176.6199951171875,179.77000427246094,175.00999450683594,177.80999755859375,176.94349670410156,2940200
2022-10-06,176.2899932861328,177.69000244140625,173.86000061035156,175.0399932861328,174.18698120117188,2599200
2022-10-07,173.58999633789062,174.16000366210938,170.3699951171875,171.41000366210938,170.57469177246094,2961600
2022-10-10,172.80999755859375,173.8000030517578,170.1199951171875,171.88999938964844,171.05233764648438,1932100
2022-10-11,171.39999389648438,175.75999450683594,170.77999877929688,173.6199951171875,172.77391052246094,2908300
2022-10-12,174.05999755859375,175.0,172.1999969482422,172.7899932861328,171.9479522705078,2728000
2022-10-13,169.39999389648438,178.38999938964844,169.22000122070312,177.5500030517578,176.6847686767578,3223000
2022-10-14,178.14999389648438,178.52000427246094,173.8300018310547,174.16000366210938,173.311279296875,2970300
2022-10-17,177.66000366210938,179.0,176.1300048828125,177.0399932861328,176.17724609375,3437900
2022-10-18,180.17999267578125,181.16000366210938,177.63999938964844,179.8800048828125,179.00341796875,1978600
2022-10-19,179.5,180.8300018310547,177.94000244140625,179.27999877929688,178.4063262939453,1688000
2022-10-20,179.36000061035156,180.82000732421875,177.11000061035156,177.63999938964844,176.77432250976562,2687500
2022-10-21,176.99000549316406,183.30999755859375,176.52000427246094,182.80999755859375,181.91912841796875,2959800
2022-10-24,184.50999450683594,188.0800018310547,183.83999633789062,186.89999389648438,185.98919677734375,3271000
2022-10-25,186.66000366210938,189.86000061035156,186.1999969482422,189.64999389648438,188.7257843017578,2907100
2022-10-26,191.6300048828125,192.9499969482422,189.75999450683594,190.27000427246094,189.3427734375,4202900
2022-10-27,193.36000061035156,199.5800018310547,192.8000030517578,196.49000549316406,195.532470703125,4754000
2022-10-28,199.0,205.16000366210938,196.69000244140625,204.92999267578125,203.9313201904297,4892700
2022-10-31,202.41000366210938,204.99000549316406,202.2899932861328,204.02000427246094,203.02577209472656,4433400
